,city,clouds,country,humidity,lat,lng,tempMax,windDeg,windSpeed
0,Adrar,75,DZ,32,27.87,-0.29,84.2,220.0,12.75
1,Fairbanks,90,US,96,64.84,-147.72,46.04,166.003,3.09
2,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
3,Rosarito,20,MX,59,27.04,-109.91,91.4,210.0,2.24
4,Liwale,56,TZ,42,-9.8,37.92,77.87,86.0031,6.44
5,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
6,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
7,Ilulissat,20,GL,46,69.22,-51.1,30.2,260.0,4.7
8,Dire Dawa,0,ET,45,9.59,41.86,60.59,43.5031,4.43
9,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
10,Malanje,12,AO,94,-9.54,16.35,66.98,331.503,2.53
11,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
12,Kapaa,90,US,84,22.08,-159.32,78.98,80.0,12.75
13,Ukiah,1,US,20,39.15,-123.21,78.98,272.503,2.42
14,Port Alfred,0,ZA,100,-33.59,26.89,61.76,109.003,5.99
15,Lubumbashi,0,CD,37,-11.66,27.48,71.03,131.003,6.78
16,Bluff,12,NZ,93,-46.6,168.33,52.76,304.003,23.44
17,Vaini,40,TO,94,-21.2,-175.2,75.2,30.0,4.7
18,Bambous Virieux,75,MU,73,-20.34,57.76,75.2,110.0,11.41
19,Tiksi,0,RU,100,71.64,128.87,33.14,289.003,10.13
20,Izhma,12,RU,95,65.01,53.91,52.94,215.503,7.78
21,Bechyne,80,CZ,54,49.3,14.47,53.75,257.503,6.89
22,Bredasdorp,0,ZA,76,-34.53,20.04,53.6,210.0,3.36
23,Hithadhoo,68,MV,100,-0.6,73.08,84.44,127.003,8.68
24,San Pedro,12,AR,93,-33.68,-59.66,77.6,315.503,16.62
25,Bredasdorp,0,ZA,76,-34.53,20.04,53.6,210.0,3.36
26,Hermanus,0,ZA,83,-34.42,19.24,50.24,166.003,3.53
27,Busselton,0,AU,100,-33.64,115.35,56.36,203.003,9.13
28,Piterka,8,RU,72,50.68,47.44,61.4,125.503,7.23
29,Makokou,24,GA,78,0.56,12.85,78.59,265.003,3.98
30,Belmonte,0,BR,55,-26.84,-53.58,89.39,346.503,5.66
31,Muros,0,ES,88,42.77,-9.06,68.0,30.0,8.05
32,Chokurdakh,92,RU,100,70.62,147.9,33.14,3.00311,3.65
33,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
34,Tuktoyaktuk,75,CA,100,69.44,-133.03,32.0,40.0,6.93
35,Terney,48,RU,100,45.05,136.61,56.18,14.0031,9.91
36,Norrtalje,0,SE,57,59.76,18.7,51.8,240.0,12.75
37,Qaanaaq,0,GL,100,77.48,-69.36,19.73,100.003,11.92
38,Hobart,40,AU,66,-42.88,147.33,42.8,230.0,5.82
39,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
40,Otavi,0,NA,22,-19.64,17.34,73.73,97.5031,7.56
41,Coquimbo,40,CL,76,-29.95,-71.34,57.2,280.0,12.75
42,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
43,Kapaa,90,US,84,22.08,-159.32,78.98,80.0,12.75
44,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
45,Kerrville,90,US,75,30.05,-99.14,71.6,330.0,10.29
46,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
47,Lebu,12,CL,97,-37.62,-73.65,53.39,324.503,18.86
48,Saint George,75,BM,83,32.38,-64.68,80.6,80.0,21.92
49,Zhanaozen,0,KZ,46,43.35,52.85,65.63,26.0031,6.44
50,Carnarvon,0,AU,95,-24.87,113.63,64.46,178.503,8.46
51,Tiksi,0,RU,100,71.64,128.87,33.14,289.003,10.13
52,Vaini,40,TO,94,-21.2,-175.2,75.2,30.0,4.7
53,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
54,East London,20,ZA,76,-33.02,27.91,57.2,80.0,4.7
55,Kualakapuas,0,ID,68,-3.01,114.39,78.59,123.003,5.1
56,Nanortalik,92,GL,100,60.14,-45.24,36.47,86.0031,19.86
57,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
58,Ambilobe,0,MG,60,-13.19,49.05,73.91,117.003,12.03
59,Qaanaaq,0,GL,100,77.48,-69.36,19.73,100.003,11.92
60,Pirogovskiy,0,RU,68,55.98,37.73,66.2,140.0,6.71
61,Longyearbyen,75,SJ,69,78.22,15.64,33.8,80.0,19.46
62,Bontang,8,ID,99,0.12,117.47,79.76,186.003,6.22
63,Talnakh,56,RU,86,69.49,88.39,43.31,161.003,11.03
64,Ankang,80,CN,73,32.73,108.99,61.31,57.5031,2.42
65,Rikitea,24,PF,100,-23.12,-134.97,71.03,158.003,8.57
66,Hobart,40,AU,66,-42.88,147.33,42.8,230.0,5.82
67,Barrow,1,US,47,39.51,-90.4,70.16,99.0031,8.23
68,Provideniya,0,RU,98,64.42,-173.23,44.39,40.0031,24.79
69,Sabha,0,LY,18,27.03,14.43,84.62,54.0031,8.01
70,Nuuk,75,GL,75,64.17,-51.74,41.0,160.0,17.22
71,Luganville,64,VU,100,-15.51,167.18,76.16,127.503,18.86
72,Vaini,40,TO,94,-21.2,-175.2,75.2,30.0,4.7
73,Sao Filipe,0,CV,87,14.9,-24.5,81.56,39.5031,14.05
74,Narrabri,0,AU,79,-30.33,149.78,43.58,153.503,2.86
75,Vaini,40,TO,94,-21.2,-175.2,75.2,30.0,4.7
76,Kapaa,90,US,84,22.08,-159.32,78.98,80.0,12.75
